feature_set,model,fold,roc_auc,f1
Lexical_only,RandomForest,1,0.647282640635669,0.4889188555347092
Lexical_only,RandomForest,2,0.6398308578222465,0.37298541826554105
Lexical_only,RandomForest,3,0.6349396992878743,0.3275060375590239
Lexical_only,RandomForest,4,0.6336677403848426,0.43559836142468494
Lexical_only,RandomForest,5,0.6595101977727351,0.5020280094895538
Lexical_only,GradientBoosting,1,0.6483831296268746,0.05465390484117076
Lexical_only,GradientBoosting,2,0.6402242188570645,0.08952855847688124
Lexical_only,GradientBoosting,3,0.6347731729637388,0.11004448606883634
Lexical_only,GradientBoosting,4,0.6333189530612329,0.07131706515487635
Lexical_only,GradientBoosting,5,0.6595874627181684,0.04996163355784807
Lexical_only,XGBoost,1,0.6478206307469798,0.045845272206303724
Lexical_only,XGBoost,2,0.6399880605229252,0.08641975308641975
Lexical_only,XGBoost,3,0.6349468012626277,0.10285578860054509
Lexical_only,XGBoost,4,0.6339023970968998,0.07501433134059454
Lexical_only,XGBoost,5,0.6595127388564394,0.052156127492756096
Gaze_only,RandomForest,1,0.9980101790208237,0.9808657693706803
Gaze_only,RandomForest,2,0.9983635614098579,0.9813680130048769
Gaze_only,RandomForest,3,0.9978752693208195,0.9738339021615472
Gaze_only,RandomForest,4,0.9976984694872292,0.9774640477025605
Gaze_only,RandomForest,5,0.9978745206314167,0.9843847041078875
Gaze_only,GradientBoosting,1,0.9983318035438902,0.9799366420274551
Gaze_only,GradientBoosting,2,0.9988231743589842,0.9789045383411581
Gaze_only,GradientBoosting,3,0.9983076918466515,0.9691230410136712
Gaze_only,GradientBoosting,4,0.9978160983955685,0.9764974129615014
Gaze_only,GradientBoosting,5,0.9986538904330576,0.9832387371408301
Gaze_only,XGBoost,1,0.9988453615354796,0.9824931756141947
Gaze_only,XGBoost,2,0.9991536477131874,0.9809786009260418
Gaze_only,XGBoost,3,0.9988445011254482,0.9757632565613283
Gaze_only,XGBoost,4,0.9985311935911202,0.9791529515031819
Gaze_only,XGBoost,5,0.9990801048407706,0.9846030971291654
Combined,RandomForest,1,0.9985298830719717,0.9814875431896708
Combined,RandomForest,2,0.9989686692158046,0.9814084507042253
Combined,RandomForest,3,0.9984243653408902,0.9741015860269022
Combined,RandomForest,4,0.9982128419779973,0.977846018863786
Combined,RandomForest,5,0.9986424365077854,0.984343815141704
Combined,GradientBoosting,1,0.9983263296358951,0.9797582641619339
Combined,GradientBoosting,2,0.9988231452398234,0.978843264897346
Combined,GradientBoosting,3,0.9983078236321515,0.9690542883820195
Combined,GradientBoosting,4,0.9977942366828706,0.9762812924722697
Combined,GradientBoosting,5,0.998663845233236,0.9835498603290028
Combined,XGBoost,1,0.9988560900178015,0.982166254185471
Combined,XGBoost,2,0.9991652351978484,0.9816657280520619
Combined,XGBoost,3,0.9988627272406262,0.9747055674518201
Combined,XGBoost,4,0.9985505042422266,0.9787196700451932
Combined,XGBoost,5,0.9990764284602991,0.9848148477044667
